വിദേശിയരായ	ADJ	വിദേശീയരായ	adj	_	_	_	_	_	_
ജീവനക്കാര്‍	NOUN	ജീവനക്കാരന്	n	m	pl	3	d	അര്‍	ar
ഈ	DET	ഈ	avy	_	_	_	_	_	_
മേഖലയില്‍	NOUN	മേഖല	n	n	sg	3	d	ഇല്‍	yil
പ്രവൃത്തി	NOUN	പ്രവര്ത്തി	n	n	sg	3	d	_	_
എടുക്കുമ്പോഴ്	VERB	എടുക്ക്	v	_	_	_	_	_	umpOL
ആണ്	VERB	ആണ്	v	_	_	_	_	_	_
ഇതേ	ADJ	ഇതേ	adj	_	_	_	_	_	_
പ്രത്യാഘാതം	NOUN	പ്രത്യാഘാതം	n	n	sg	3	d	_	_
തന്നെ	PART	തന്നെ	avy	_	_	_	_	_	_
ഉണ്ടാകാറുള്ളത്	VERB	ഉണ്ടാക്	v	_	_	_	_	ആറ്ഉള്	ARuLLatu
.	PUNCT	.	punc	_	_	_	_	_	_

അല്ലെങ്കില്‍	SCONJ	അല്ലെങ്കില്‍	avy	_	_	_	_	_	_
അവയും	PRON	അവ	pn	_	_	_	_	_	_
അന്യാധീനം	NOUN	അന്യാധീനം	n	n	sg	3	d	_	_
ആകും	VERB	ആക്	v	_	_	_	_	ഉം	um
.	PUNCT	.	punc	_	_	_	_	_	_

ആന്ധ്രസംസ്ഥാനം	NOUN	ആന്ധ്രസംസ്ഥാനം	n	n	sg	3	d	_	_
ഒക്ടോബര്‍	NOUN	ഒക്ടോബര്	n	n	sg	3	d	_	_
നിലവില്‍	NOUN	നിലവ്	n	n	sg	3	d	ഇല്‍	il
വന്നു	VERB	വര്	v	_	_	_	_	ന്നു	nnu
.	PUNCT	.	punc	_	_	_	_	_	_

എന്ന്	SCONJ	എന്ന്	avy	_	_	_	_	_	_
ഇങ്ങനെ	ADV	ഇങ്ങനെ	adv	_	_	_	_	_	_
ഉള്ള	VERB	ഉള്	v	_	_	_	_	_	a
പല	ADJ	പല	adj	_	_	_	_	_	_
കാര്യങ്ങളും	NOUN	കാര്യ	n	n	pl	3	d	കള്‍	NGaLum
മലയിലെ	NOUN	മല	n	n	sg	3	d	ഇലെ	yile
സസ്യജാലങ്ങള്	NOUN	സസ്യജാല	n	n	pl	3	d	കള്‍	NGaL
എല്ലാം	ADJ	എല്ലാം	avy	_	_	_	_	_	_
ചെയ്യുന്നുണ്ട്	VERB	ചെയ്യ്	v	_	_	_	_	ഉന്നുഉണ്ട്	unnuNTu
.	PUNCT	.	punc	_	_	_	_	_	_

പൂര്‍ണ്ണമായും	ADV	പൂര്ണ്ണം	n	any	sg	_	_	ആയും	AyuM
75	NUM	75	num	_	_	_	_	_	_
വര്‍ഷം	NOUN	വര്ഷം	n	any	sg	3	d	_	_
പഴക്കം	NOUN	പഴക്കം	n	any	sg	3	d	_	_
ഉള്ള	VERB	ഉള്	v	_	_	_	_	_	atu
മഹത്തായ	ADJ	മഹത്ത്	n	any	sg	_	_	ആയ	Aya
കൊട്ടാരത്തില്‍	NOUN	കൊട്ടാരം	n	any	sg	3	d	ഇല്	ilZ
തങ്ങുന്നതിന്‍റെ	VERB	തങ്ങ്	v	any	any	any	_	ഉന്നതിന്റെ	unnawinZrYeV
